,Title,Abstract,Owner,field,Key word,country,State,City,link of page
11,شناسایی وتحلیل علل وقوع حوادث ناشی از خطا های انسانی اپراتورها و گروه های تعمیراتی در شبکه انتقال وفوق توزیع برق غرب و ارایه راهکارهای لازم,*تعریف دقیق مسیله و تبیین ضرورت و اهمیت انجام تحقیق,شرکت مادر تخصصی مدیریت تولید، انتقال و توزیع نیروی برق ایران - توانیر,,['حوادث ، خطا های انسانی، اپراتورها ، گروه های تعمیراتی ، شبکه انتقال وفوق توزیع برق'],ایران,کرمانشاه,,https://nan.ac/ViewNeed/D2587031D10747C6B23BB5BA09D69C1A
12,شناسایی پایه های مقاوم ژنتیکی در رویشگاههای در معرض خطر شمشاد و شاه بلوط در جنگلهای هیرکانی,گونه شمشاد (Buxus sempervirens subsp. hyrcana) از مهمترین گونه های گیاهی همیشه سبز جنگل های هیرکانی است. این گونه مختص ایران بوده و در بین ذخایر جنگلی جهان از اهمیت خاصی برخوردار است. گونه شمشاد سایه پسند بوده و مختص آب و هوای دریایی محسوب می شود و در حقیقت از گونه های در حال انقراض می باشد که خطر نابودی آن در آینده نزدیک محتمل است. بهترین رویشگاه آن نیز در شمال ایران در ارتفاع 20 تا 400 متر از سطح دریا قرار دارد ولی تا ارتفاع 1200 متر در زیراشکوب راش نیز مشاهده می شود. شاه بلوط اروپایی (Castanea sativa Mill.) یکی از گونه های کمیاب و با ارزش جنگل های معتدل و مرطوب است و تنوع ژنتیکی فراوانی در جهان دارد. شاه بلوط اروپایی در ایران، بومی استان گیلان است که در شرایط خاکی و اقلیمی ویژه ای گسترش یافته است. این گونه چندمنظوره در رویشگاه های طبیعی ویسرود، سیاهمزگی، شفارود و قلعه رودخان در گیلان پراکنش دارد. عواملی مانند بهره برداری سنتی از بذر درختان شاه بلوط، چرای دام و آلودگی درختان به خشکیدگی، باث کاهش زادآوری طبیعی این گونه شده است. استان گیلان تنها رویشگاه طبیعی گونه شاه بوط اروپایی در ایران است. متاسفانه اپیدمی های شدید بیماری سوختگی شاه بلوط، یکی از چالش ها برای این درختان در سالهای اخیر بوده است. باتوجه به کاربردهای فراوان این گونه اقتصادی در صنایع گوناگون داروسازی، خوراکی و بهداشتی، نگاه ویژه به به نژادی آن، در راستای بهره برداری مناسب از منابع ژنتیکی و پیشرفت و بهبود کمی و کیفی  و پایش آن ضروری می باشد. باتوجه به اینکه گونه شمشاد و شاه بلوط اروپایی از گونه های بومی استان گیلان می باشند و تاکنون کاوش های بنیادینی درباره تنوع ژنتیکی در راستای پایش و نگهداری توان ژنتیکی این گونه ها در شناسایی پایه های مقاوم و همچنین برنامه های اصلاحی و به نژادی انجام نگرفته است و همچنین با توجه به اینکه این گونه ها در معرض خطر نابودی می باشند، ارزش اجرای این پژوهش دوچندان می شود.,اداره کل منابع طبیعی و آبخیزداری استان گیلان,کشاورزی و منابع طبیعی,['Buxus-hyrcana-Castanea- Hyrcanian'],ایران,گیلان,رشت,https://nan.ac/ViewNeed/BD2CA137A70B50C100BB4F1EF5E2E0AA
13,پایش و ارزیابی عوامل محرک بیماری دام,شناسایی و پایش و ارزیابی عوامل محرک بیماری که باعث ایجاد و یا تشدید بیماری می شوند در کنترل و پیشگیری از بیماریهای دامی نقش بسزایی دارد.در صورت کشف عوامل محرک بیماری مثل خشکسالی و نحوه تاثیر آن برروی تولید و شدت بیماری، با روشهای مدرن و اصلاحی می توان از شدت موضوع کم کرد.,سازمان جهاد کشاورزی خراسان شمالی,"دامپزشکی, کشاورزی و منابع طبیعی",['پایش و ارزیابی عوامل محرک بیماری'],ایران,خراسان شمالی,اسفراین,https://nan.ac/ViewNeed/01A95A26AB5A78AFF8F45799BF61F160
14,اتوماسیون دریچه های آبیاری (اجرای مطالعه موردی),*عنوان مشکل کلیدی قابل حل توسط پروژه,شرکت سهامی سازمان آب و برق خوزستان,,['اتوماسیون دریچه های آبیاری (اجرای مطالعه موردی)'],ایران,خوزستان,,https://nan.ac/ViewNeed/DFB942303685524E705A03F58F2549C9
15,طراحی سامانه ی  ریجستری بیماری های سکته مغزی,سامانه ارزیابی و ورود داده های بیماران سکته مغزی,دانشگاه علوم پزشکی خراسان شمالی,"علوم پایه, فنی و مهندسی, مهندسی فناوری اطلاعات, مدیریت سیستم های اطلاعاتی",['سامانه،ریجستری،داده'],ایران,خراسان شمالی,اسفراین,https://nan.ac/ViewNeed/534F4A8BD96078B16F32F33F6F1CEDF5
16,لوله جداری سایز 9.625 اینچ گرید/وزن بالا,,شرکت نفت مناطق مرکزی,"علوم پایه, مهندسی نفت",,ایران,تهران,تهران,https://nan.ac/ViewNeed/39FDE86435735233655F5F95CBAA60BE
17,طراحی ساختار جامع مانیتورینگ (پایش) عملکرد ورزشکاران قهرمان استان با اولویت ورزش های مدال آور با استفاده از رویکرد ها و استاندارد های بین المللی,‎ 1- تعيين شاخص ها و ابزار هاى كمى سازى فشار تمرين در ورزشكاران,اداره کل ورزش و جوانان استان اصفهان,,['ورزشکاران قهرمان،ورزش های مدال آور'],ایران,اصفهان,اصفهان,https://nan.ac/ViewNeed/97A8B72FB940338D088AAC4972071181
18,شستشو و گند زدایی مخازن زباله، ایستگاه های میانی و اصلی دفن زباله,ا توجه به بوی تعفن سطل های زباله و جلوگیری از انتشار بیماری، شستشوی سطل های زباله از شیرابه ها و زباله های باقیمانده در سطل های زباله، از نیازهای خدمات شهری قشم می باشد. شستشوی مخازن زباله تاثیرات مهمی بر روی زیبایی شهر و خیابان ها دارد.,شهرداری قشم,,['شستشوی مخازن زباله'],ایران,هرمزگان,قشم,https://nan.ac/ViewNeed/38566870768DDA540E4EB00A1E6A2B12
19,استفاده از تکنیک های روز بخش توانمند سازی و تشکلل سازی جهت ایجاد و بهبود کسب و کار و اشتغال پایدار( کارگاه آموزشی توجیهی، کارگاه ارزیابی روستا، تعیین مشکلات روستا،....),"روش گردآوری داده ها با استفاده از پرسشنامه و توسّط نرم افزار SPSS تا نشان دهد. روستاییان در گرایش به فعّالیّت های کارآفرینانه بیشتر با گرایش به تأمین امیال و برداشت های فردی خود که در غالب گویه هایی همانند کسب سود, کسب اعتبار اجتماعی و. . . چقد علاقه دارند",اداره کل منابع طبیعی و آبخیز داری استان مازندران,,['توانمند سازی'],ایران,مازندران,ساری,https://nan.ac/ViewNeed/1AD50B07C6C96ED38EE81506EEDC240C
20,طراحی و ساخت کارت تغذیه سیستم ویبریشن VM600 ساخت شرکت Vibrometer,*عنوان مشکل کلیدی قابل حل توسط پروژه,,,['کارت تغذیه، سیستم ویبریشن VM600 ، شرکت Vibrometer'],ایران,کرمان,کرمان,https://nan.ac/ViewNeed/1053D6E825F3E28DD1FE7ACACD198B42
21,طراحي و ساخت باتري براي استفاده در حمل و نقل الكتريكي در ظرفيت‌هاي مختلف,,شركت بهينه‌سازي مصرف سوخت كشور,"علوم انسانی, حمل و نقل",,ایران,تهران,تهران,https://nan.ac/ViewNeed/6843F9BED0A657A3C276B6D22E6F8CC7
22,انجام فعالیتهای معدنی در مقیاس کوچک و خردپا,انجام فعالیت‌های معدنی در مقیاس کوچک و خردپا در استان، از دیگر مشکلات بخش معدن در استان سمنان است.بهره‌برداری از برخی معادن به دلیل داشتن ذخایر کوچک و گاهی کم‌عیار فاقد صرفه اقتصادی بوده و لازم است تا راهکاری برای رسیدن به سود برای آنها یافت.,پارك علم وفناوري استان سمنان,"فنی و مهندسی, مهندسی معدن",['فعالیتهای معدنی در مقیاس کوچک و خردپا، معادن کوچک، صرفه اقتصادی معادن، معدن، چالش معادن، معادن مقیاس کوچک'],ایران,سمنان,سمنان,https://nan.ac/ViewNeed/2707AA31F9B1C339518A6895BAFCC1A0
23,بوستر پمپ و پمپ­های فرآیندی,,شرکت ملی مهندسی و ساختمان نفت ایران,"علوم پایه, فنی و مهندسی, مهندسی مکانیک",,ایران,تهران,تهران,https://nan.ac/ViewNeed/7CEFF3E40BE4F4B0B494EC84EE8C8722
24,سامانه تشخیص و هشدار زود هنگام ریز گردها در استان گلستان,تا کنون توضیحاتی در مورد این نیاز توسط پارک علم و فناوری گلستان به دبیرخانه نان ارائه نشده است,اداره کل حفاظت محیط زیست استان گلستان,سیستم های اطلاعاتی و فناوری اطلاعات,,ایران,گلستان,گرگان,https://nan.ac/ViewNeed/E39CC4354F36E52ED81EB764BF23F2F2
25,استفاده از فناوری نانو در تولید آبزیان پرورشی,استفاده از نانو ذرات در تغذیه آبزیان می تواند بر رشد آن ها تاثیر به سزایی داشته باشد. طبق مطالعات انجام شده استفاده از نانوذرات آهن توانسته افزایش 30 درصدی بر میزان رشد ماهی کپور و 24 درصدی بر رشد تاسماهی داشته باشد. همچنین از فناوری نانو می تواند به منظور دارورسانی و واکسیناسیون آبزیان، تصفیه و پاکسازی آب و فراوری محصولات شیلات نیز بهره برد.,پارک علم و فناوری همدان,علوم بهداشت,['شیلات، فناوری نانو، جهاد کشاورزی همدان'],ایران,همدان,همدان,https://nan.ac/ViewNeed/164E7D4355028958435B4D88830B14D6
26,بررسی علت وجود طعم وبو در آب شرب شهر بانه (از مبادی ایجاد، ورودی، تصفیه خانه ،شبکه توزیع و...) و ارایه راهکارهای عملی,*عنوان مشکل کلیدی قابل حل توسط پروژه,شرکت آب و فاضلاب استان کردستان,,['وجود طعم وبو در آب شرب'],ایران,کردستان,,https://nan.ac/ViewNeed/A27D6D5875CA2EA6163F4FBCE79E051A
27,بررسی روند فزاینده تخریب پوشش گیاهی در استان خراسان شمالی,خراسان شمالی دارای دو میلیون و 832 هزار و 529 هکتار مساحت است که 70 درصد از مساحت استان معادل دو میلیون و 33 هزار و 36 هکتار شامل اراضی منابع طبیعی است. درحال حاضر 7 درصد شامل 106 هزار و 19 هکتار از مساحت مراتع خراسان شمالی از حیث تراکم پوشش گیاهی در وضعیت خوب و 44 درصد شامل 619 هزار و 786 هکتار متوسط و یا نیمه متراکم است. متاسفانه در چند سال اخیر به خاطر وجود دام زیاد و استفاده بیش از اندازه دام ها از ظرفیت مراتع موجب تخریب این مناطق شده بطوریکه طی سال‌های اخیر شاهد وقوع برخی از حوادث همچون بروز سیل در شهرستان‌های مختلف این استان بوده ایم.,اداره کل امور عشایر خراسان شمالی,,['روند ، تخریب ، پوشش گیاهی'],ایران,خراسان شمالی,بجنورد,https://nan.ac/ViewNeed/C2F312BA4C60707D46F5358DD5534A3A
28,مطالعه ژیومکانیک در میادین نفتی/گازی خلیج فارس در راستای کاهش ریسک در عملیات حفاری و همچنین کاربرد آن در پروژه های ازدیاد برداشت مخزن,این تقاضا  در وضعیت: بررسی کمیته فنی و تخصصی قرار دارد و   تحت موضوع: طرح های اکتشافی، از طرف: شرکت نفت فلات قاره ایران- اداره پژوهش و فناوری، دارای اطلاعات تماس: 02123383147، در منطقه جغرافیایی: محدوده عملیاتی شرکت نفت فلات قاره ایران، توسط وزارت نفت ارائه گردیده است.,شرکت نفت فلات قاره,مهندسی نفت,['مطالعات ژیومکانیک- عملیات حفاری- ازدیاد برداشت از مخازن'],ایران,تهران,تهران,https://nan.ac/ViewNeed/1D1F6B2E0DAD6EB895BA483795E457E6
29,دانش فنی پوشش دهی سرامیکی قطعات موتور خودرو,این مجموعه جز محدود تولید کنندگان انواع سرامیک های صنعتی در کشور می باشد . این مجموعه به منظور راه اندازی طرح توسعه خود نیاز مند دانش فنی پوشش دهی قطعات فلزی موتور خودرو از جمله جداره داخلی سیلندر ها به منظور افزایش عمر سایشی این قطعات می باشد .,توسعه صنعت شریف,"علوم پایه, مهندسی مواد, سرامیک",,ایران,البرز,,https://nan.ac/ViewNeed/42436D41965CC21B419FADE426769DD6
30,به‌كارگيري سيستم­هاي هوشمند در تجهيزات كنترل ترافيك,,شركت بهينه‌سازي مصرف سوخت كشور,"علوم پایه, علوم کامپیوتر, نرم افزار",,ایران,تهران,تهران,https://nan.ac/ViewNeed/A696C43D95057010D891F904EFD6C4D4
31,دستگاه مبدل فرکانس ویژه سامانه های نمک زدایی برای چاه های آب لب شور,با توجه به کاهش نزولات جوی و افت شدیدی منابع آب شیرین زیرزمینی که تامین آب شیرین و با کیفیت  عملاً مشکل و در بعضی مناطق مقدور نمی باشد لذا به ناچار باید به سمت و سوی آب های دریا و یا چاه های شور رفت و نیاز آب شرب را از آنها تامین کرد. لذا استفاده از دستگاه های مبدل فرکانس کنترل و راه اندازی پمپ های فشار قوی سامانه های نمک زدایی آب می تواند در آینده نزدیک این امر را تا حد امکان برطرف نماید.,شرکت آب و فاضلاب استان خراسان شمالی,"فنی و مهندسی, کشاورزی و منابع طبیعی",['مبدل فرکانس سامانه های نمک زدایی،آب شیرین'],ایران,خراسان شمالی,اسفراین,https://nan.ac/ViewNeed/6EDEC650C8873244C1A5866B76A8FE5E
32,بررسی و مطالعه ارایه روش های مختلف کالیبراسیون برای کنتورهای هوشمند به صورت دستی (مطالعه استان خراسان رضوی),*عنوان مشکل کلیدی قابل حل توسط پروژه,شرکت سهامی آب منطقه‌ای خراسان رضوی,,['کالیبراسیون ، کنتورهای هوشمند ، استان خراسان رضوی'],ایران,خراسان رضوی,,https://nan.ac/ViewNeed/5F77E1E7AE79C548E2E6D3ED727F53EC
33,عدم دسترسی همگان به اینترنت با سرعت بالا و قیمت مناسب,استفاده از اینترنت مزایای زیادی از جمله دستیابی به اطلاعات به همراه دارد. به‌علاوه، اینترنت به مردم این امکان را می‌دهد تا به‌راحتی و به‌سرعت ارتباط برقرار کنند.,پارك علم وفناوري استان سمنان,علوم کامپیوتر,['اینترنت، سرعت بالا اینترنت، قیمت مناسب اینترنت، کسب و کار اینترنتی'],ایران,سمنان,سمنان,https://nan.ac/ViewNeed/36B766AA277BEBEC8FDCFAD7B489E7C2
34,مارکینگ قطعات فورج شده در حالت گرم در دستگاه SXP25-SXP65 (دمای  700 الی 1000 درجه سانیگراد),در حال حاضر مارکینگ قطعات فلت در ماشین های آهنگری SXP25-SXP65 به صورت دستی مارک می گردد که این کار دارای مشکلات فراوانی می باشد. ولی با تعبیه یک ربات جهت مارکینگ قطعات گرم به صورت خودکار، مشکلات ناشی از مارکینگ نامناسب و ردیابی قطعات کاهش پیدا میکند.شرایط محیطی : قطعات بصورت گرد یا فلت با دمای حدود 800-900 درجه سلسیوس می باشند .,مجتمع فولاد اسفراین,,['مارکینگ،قطعات فورج'],ایران,خراسان شمالی,بجنورد,https://nan.ac/ViewNeed/81AF0779D82AB62010F234238C3C16F6
35,بررسی تاثیر عملیات مختلف آبخیزداری در حوزه های آبخیز مشرف به شهر خرم آباد,مهار و کنترل رواناب و فرسایش و رسوب ناشی از آن در حوزه های آبخیز مشرف به مراکز جمعیتی به عنوان یکی از مسایل مورد توجه به شمار می رود، به طوری که رواناب ناشی از بارندگی موجب بروز خسارات به پایین دست می گردد. عملیات آبخیزداری به عنوان راهکاری برای کاهش اثرا,,,['آبخیزداری.تغییر عملیات'],ایران,لرستان,,https://nan.ac/ViewNeed/B23F267920806260AF72B5092153DD7B
36,بررسی نقاط ضعف و ارایه راه کار جهت تقویت تشکلهای عشایری استان اردبیل,التزام نمودن شبکه های تعاونی جهت عملیاتی نمودن اساسنامه های شرکتهای تعاونی در راستای خدمات رسانی بهینه به جامعه هدف,اداره کل امور عشایر استان اردبیل,"کشاورزی و منابع طبیعی, اقتصاد کشاورزی, ترویج و آموزش کشاورزی, سیاست و توسعه کشاورزی, اقتصاد تولید و مدیریت واحدهای کشاورزی",['تشکل - عشایر'],ایران,اردبیل,اصلاندوز,https://nan.ac/ViewNeed/B5D8A334FC32B2A56AB37A39EC81E620
37,تهیه و تولید مدیا برای تولید فیلتر صنعتی,با توجه به وارداتی بودن مدیاهای تولید فیلترهای صنعتی نیاز اساسی به تولید این فیلترها می باشد,کیان پالایش رادمان,فنی و مهندسی,['فیلتر، مدیا'],ایران,مرکزی,اراک,https://nan.ac/ViewNeed/CA7B533472FD9616A54B7E8150075516
38,بهینه سازی مصرف انرژی در ایستگاه پمپاژ با مدلهای ترکیبی هوش مصنوعی,*عنوان مشکل کلیدی قابل حل توسط پروژه,شرکت آب و فاضلاب استان سیستان وبلوچستان,,['بهینه سازی مصرف انرژی ، ایستگاه پمپاژ ، مدلهای ترکیبی هوش مصنوعی'],ایران,سیستان وبلوچستان,,https://nan.ac/ViewNeed/7AF2328908F6E7188051EFDF7FCBB7E4
39,راهکارهای افزایش بهره وری نیروی انسانی در شرکت آب و فاضلاب کاشان ( مطالعه موردی معاونت بهره برداری و توسعه آب ),*عنوان مشکل کلیدی قابل حل توسط پروژه,شرکت آب و فاضلاب استان اصفهان,,['افزایش بهره وری نیروی انسانی ، شرکت آب و فاضلاب کاشان'],ایران,اصفهان,کاشان,https://nan.ac/ViewNeed/97827064EC7667DF7F29C2B99996DC6C
40,استپ موتور ظرفیت 9000 تا 12000,نبود تکنولوژی ساخت قطعه,,"علوم پایه, فنی و مهندسی, مهندسی صنایع",,ایران,,,https://nan.ac/ViewNeed/E97B7057AF068F03FAD82147A0172A5A
41,لزوم حضور کارشناسان معدنی استان در شورای عالی معادن هنگام طر ح پرونده های مربوط به استان سمنان,لزوم حضور کارشناسان معدنی استان سمنان در شورای عالی معادن هنگام طرح پرونده های مربوط به استان به جهت طرح ریزی دقیق تر و منسجم تر با در نظر گرفتن چالش های معدن کاران و معادن,پارك علم وفناوري استان سمنان,"علوم پایه, علوم زمین, زمین شناسی مهندسی",['شورای عالی معادن، کارشناسان معدنی استان'],ایران,سمنان,سمنان,https://nan.ac/ViewNeed/78D3ED1E73CCF48415804ECE092230A2
42,شناسایی آلاینده‌ها و ناخالصی‌های ایجاد شده توسط آزمایشگاه‌ها و کارگاه‌های تولیدی طلا و نقره و ارائه راهکارهایی جهت کاهش آن‌ها,بررسی و مطالعه و شناسایی آلاینده ها و ناخالصی های  ایجاد شده توسط آزمایشگاه‌ها و کارگاه‌های تولیدی طلا و نقره استان اصفهان  و ارائه راهکارهای پیشنهادی منظور به حداقل رساندن آالاینده‌های محیطی ایجاد شده توسط این مراکز می‌باشد. از طرفی اضافه شدن عناصری از ج,اداره کل استاندارد و تحقیقات صنعتی استان اصفهان,,['آلاینده\u200cهامحیطی،کارگاه\u200cهای تولیدی طلا و نقره،عناصر گروه پلاتین'],ایران,اصفهان,اصفهان,https://nan.ac/ViewNeed/73ECBBB96251037E9E63C74B26B97A65
43,فرایند جایگزین رنگ‌بری آویز قطعات صنعتی در کارخانه تولید قطعات خودرو,ایجاد ویژگی رنگ ناپذیری برای آویز قطعات در کوره های رنگ,شرکت خدمات نو آوری بومرنگ,"علوم پایه, مهندسی مواد, شیمی معدنی",,ایران,تهران,,https://nan.ac/ViewNeed/BA625DB20046A3499A85D5504BE2E3A9
44,استقرار سامانه یکپارچه سازی ساختار آمار و اطلاعات(ERP),سیستمی که لاجرم از پویایی و انعطاف نیز بایستی برخوردار باشد. سیستمی که در برابر تغییرات واکنش‌های مناسب نشان دهد و در نهایت به عنوان منبع واحد و موثقی از داده و اطلاعات در کسب و کار Single source of truth به اتخاذ تصمیمات درست بهینه به موقع و قابل اتکا برای افراد یاری رساند,بنیاد مستضعفان,,['ساختار آمار واطلاعات'],ایران,مازندران,ساری,https://nan.ac/ViewNeed/3AAA9A534BDFD8F4927FF55772F20316
45,بررسی  امکان استفاده از پساب تصفیه خانه های شهری استان هرمزگان در مصارف کشاورزی,*عنوان مشکل کلیدی قابل حل توسط پروژه,آب منطقه ای هرمزگان,,['پساب تصفیه خانه های شهری ف استان هرمزگان ، مصارف کشاورزی'],ایران,هرمزگان,,https://nan.ac/ViewNeed/249E4DB5E95D41F5FBB953670517A0C8
46,گرفتگی در بوستر اجکتور به دلیل حمل قطرات اوره,بررسی و امکان سنجی طراحی و تغییر اجکتور,پتروشیمی خراسان شمالی,فنی و مهندسی,['بوستر اجکتور،قطرات اوره'],ایران,خراسان شمالی,اسفراین,https://nan.ac/ViewNeed/B48BFCD5EC3BE2EEA73AEDDEF1413608
47,ارایه مدل کسب و کار ذخیره سازهای خانگی در پاسخگویی بار با رویکرد تاب آوری,*تعریف دقیق مسیله و تبیین ضرورت و اهمیت انجام تحقیق,شرکت مادر تخصصی مدیریت تولید، انتقال و توزیع نیروی برق ایران - توانیر,,['انرژی\u200c های نو و تجدیدپذیر، پیک مصرف'],ایران,خوزستان,,https://nan.ac/ViewNeed/83D7003390DA8E6F94C8FD0572B88F70
48,آسیب شناسی فرایند اجرای احکام کیفری,بازطراحی نظام مدیریت و اصلاح مجرمین,قوه قضاییه جمهوری اسلامی ایران,,['آسیب شناسی-فرآیند-اجرای-احکام'],ایران,قزوین,قزوین,https://nan.ac/ViewNeed/738BB153E16975F6B34CD34A07D4EE65
49,طراحی و ساخت رله تشخیص پارگی نول,*تعریف دقیق مسیله و تبیین ضرورت و اهمیت انجام تحقیق,شرکت مادر تخصصی مدیریت تولید، انتقال و توزیع نیروی برق ایران - توانیر,,['رله،  پارگی نول'],ایران,آذربایجان شرقی,,https://nan.ac/ViewNeed/75211D27D6D1C3D8EC03210B7305F31D
50,طراحی، ساخت تجهیزات سنجش گازهای شیمیایی خاص مانند دی اکسید و فوران (زباله سوزها) گاز HF،HCL،H25 (در صنایع شیمیایی تولید چسب اوره فرمالدیید، صنایع MDF صنایع تولید کننده مواد پتروشیمی و...),در مراکز دفع دپوی زباله، زباله ها بعد از چند سال راکد بودن در منطقه، گازهای خطرناکی تولید می کنند که نیاز به حل چالش شود لذا دستگاهی که تشخیص دهد به یک غلظتی بر اساس حجم و...دارد و قابل حل است.,اداره کل محیط زیست استان مازندران,,['طراحی تجهیزات'],ایران,مازندران,ساری,https://nan.ac/ViewNeed/2BDC7A34B2629383A662B7AA91A33893
51,ارزیابی طرح کانال انتقال آب سیمین دشت و مقایسه با اهداف اولیه احداث کانال پس از 15 سال بهره برداری,*عنوان مشکل کلیدی قابل حل توسط پروژه,شرکت سهامی آب منطقه‌ای تهران,,['کانال انتقال آب سیمین دشت،'],ایران,تهران,,https://nan.ac/ViewNeed/C14AA32FECF5FA324D1204344B1FF4A9
