,Title,Abstract,Owner,field,Key word,country,State,City,Target group
14,کوپلینگ پنیون اشتوسبانک,کوپلینگ جهت انتقال نیرو و سرعت از الکتروموتوری با توان 2 مگاوات به چرخدنده های جناقی با مدول 26 میلیمتر و قطر 754 میلیمتر,گروه ملی صنایع فولاد,,['کوپلینگ پنیون اشتوسبانک'],,خوزستان,اهواز,گروه/های هدف:
15,کسب دانش فنی تولید کلر از اسید کلریدریک,یکی از محصولات جانبی و ناخواسته پتروشیمی کارون، اسید کلریدریک گازی بوده که قابلیت تبدیل به ماده اولیه کلر را دارد. کلر به عنوان ماده اولیه در پتروشیمی کارون کاربرد داشته و هدف از این مطالعه دستیابی به دانش فنی تولید کلر از اسید کلریدریک است.,شركت پتروشيمي كارون,"علوم پایه, شیمی, شیمی معدنی",['کلر- اسید کلریدریک'],ایران,خوزستان,بندرماهشهر,
16,بررسی میزان آلودگی لبنیات سنتی و نقش مراکز عرضه در انتشار تب مالت استان همدان,بروسلوز یکی از بیماری های مشترک بین انسان و دام است که در اثر تماس مستقیم و یا غیرمستقیم انسان با دام های آلوده ویا مصرف محصولات لبنی آلوده منتقل می شود. مبارزه و کنترل بیماری در دام ها (واکسیناسیون، تست و کشتار و رعایت مسایل قرنطینه ای) نقش بسیار مهمی در کنترل و پیشگیری از بیماری در انسان دارد. که این مهم نقش دامپزشکی را در کنترل بیماری برجسته ترمی کند. نتایج حاصل از مطالعات پیشین در استان، میزان آلودگی دام ها به بروسلوز را دراستان کم رنگ می داند. ولیکن دلیل افزایش سالیانه تعداد موارد مبتلایان انسانی در استان حلقه مفقوده ای است که پاسخ به آن بررسی کامل شرایط حال در جامعه را می طلبد. از طرفی افزایش قابل توجه مراکز عرضه لبنیات در سطح شهر به دلیل تقاضا و اقبال مردم به مصرف آن و همچنین نبود متولی واحد جهت نظارت به شرایط و مواد عرضه یکی از مشکلات عمده در حال حاضر می باشد. انجام این پژوهش می تواند اطلاعات دقیقی از مراکز عرضه لبنیات در استان، کیفیت محصولات عرضه شده و همچنین منبع تغذیه مواد اولیه آنها جهت کنترل و پایش بیشتری ارایه دهد.,اداره کل دامپزشکی استان همدان,"دامپزشکی, باکتری شناسی, بهداشت و کنترل کیفی مواد غذایی",['شیرخام، بروسلا، بروسلوز، همدان، لبنیات سنتی'],ایران,همدان,همدان,
17,پمپ لجن کش 6 اینچ KSB KRTUK 150-400-554,مشخصات فنی: قطر فلنج خروجی 6 اینچ - DN150,گروه ملی صنایع فولاد,,['پمپ لجن کش'],,خوزستان,اهواز,گروه/های هدف:
18,سنجش بهره وری عوامل تولید و سطح تکنولوژی صنایع استان مرکزی با تاکید بر شناسایی ظرفیت های رشد اقتصادی 8 درصد,امروزه بهره وری فراتر از یک معیار، به عنوان یک فرهنگ و نگرش به کار و زندگی مطرح شده و بهبود آن منشا اصلی توسعه اقتصادی است. ارتقای بهره وری بر پدیده های اصلی اجتماعی، اقتصادی و سیاسی جامعه مانند کاهش تورم، افزایش سطح رفاه عمومی، افزایش سطح اشتغال، افزایش توان رقابت سیاسی و اقتصادی و مانند اینها تاثیرات وسیعی دارد. از دیدگاه سیستمی با گسترش این تفکر در سطح منابع اقتصادی جامعه می توان نتیجه گرفت که افزایش بهره وری شرکتها موجب افزایش بهره وری ملی شده و آن نیز به بالارفتن قدرت خرید مردم و رونق اقتصادی در درازمدت منجر خواهد.,استانداری مرکزی,"علوم انسانی, فنی و مهندسی, علوم اقتصادی",['بهره وری و سطح تکنولوژی صنایع'],ایران,مرکزی,اراک,
19,بررسی ضریب جذب کنجاله,کنجاله بازمانده ی جامدی است که پس از روغنگیری ازدانه های روغنی  به‌جا می‌ماند.که در قدیم کنجاره، کنجار و کُنجیده هم نامیده می‌شد. بازمانده ی هر چیزی چون کنجد ،تخم کتان،بادام،انگور، انار،کرچک و ... که کوفته یا فشرده و آب یا روغن آن گرفته شده‌باشد کنجاله نامیده می‌شود. کنجاله ها را به خاطر داشتن پروتیین و انرژی بالا،می توان به عنوان یک منبع غذایی مفیدبرای استفاده در خوارک دام و طیور در نظر گرفت.,پارک علم و فناوری استان مرکزی,فنی و مهندسی,['ضریب، بررسی'],ایران,مرکزی,اراک,
20,عدم دسترسی به اطلاعات حاصل از ارزیابی، آسیب شناسی و ترازیابی الگوهای مختلف کسب و کارهای خانگی استان گیلان,موفقیت طرحهای اشتغالزایی نیازمند شناسایی نقاط قوت و فرصتها و تقویت آنها و شناسایی نقاط ضعف و تهدید و رفع آنها و ارایه راهبردهایی,اداره کل تعاون، کار و رفاه اجتماعی استان گیلان,علوم انسانی,['آسیب ها، ترازیابی، مشاغل خانگی، استان گیلان، کسب و کارهای خرد.'],ایران,گیلان,رشت,
21,پروبیوتیک و بهبوددهنده های بومی آبزیان,تولید پروبیوتیک های بومی استان خوزستان افزایش بهره وری در تولید را فراهم می گردد,پارک علم و فناوری خوزستان,فنی و مهندسی,['پروبیوتیک، آبزیان'],ایران,خوزستان,اهواز,
22,پیشگیری ، کنترل و مبارزه با بیماری قارچی سرکوسپورا در چغندرقند,این قارچ برای فعال شدن نیاز به رطوبت و باد دارد . در خاکهای مرطوب ( پس از بارش باران) وقتی که هوا به طرف گرمی می رود این پاتوژنها در خاک فعالیت خود را آغاز می کنند و به وسیله باد در محیط باغ پخش می شوندو روی برگها و میوه های می نشینند و پس از مدتی باعث آسیب به درخت و مییوه می شوند.,پارک علم و فناوری استان مرکزی,کشاورزی و منابع طبیعی,['آفات، کنترل'],ایران,مرکزی,اراک,
23,پیش بینی رواناب و سیلاب ناگهانی به کمک داده های رادار و شبکه ایستگاهها در حوضه قره سو در استان گلستان,در طی سالهای اخیر در پی گرم زمین رخداد بلایای مخرب طبیعی مانند بارشهای سیل آسا و طوفانها در حال افزایش است. استان گلستان با توجه به ویژگی های جغرافیایی و توپوگرافی از جمله استان های کشور می باشد که هر ساله شاهد رخداد سیلاب در مقیاسهای کوچک و متوسط در آن هستیم. تغییر رفتار و الگوهای بارش و افزایش شدت بارشهای کوتاه مدت و حدی در سالهای اخیر باعث افزایش رخداد سیل در استان گلستان شده است که با تلفات انسانی و خسارتهای زیاد مادی نیز  همراه بوده است. استفاده از رادار هواشناسی در پیش بینی های کوتاه مدت و خیلی کوتاه مدت و خصوصا در بارشهای رگباری و شدید و محاسبه حجم بارش بسیار مفید می باشد. همچنین قابلیت بکارگیری آن به عنوان ورودی مدلهای هیدرولوژی و محاسبه حجم رواناب در پایین دست و پیش بینی درصد احتمال رخداد سیلاب نیز وجود دارد.,اداره کل هواشناسی استان گلستان,علوم پایه,['رواناب، رادار هواشناسی، بارش، استان گلستان'],ایران,گلستان,گرگان,
24,کنترل آلودگی های ویروسی و نماتدی خاک های اراضی هشتگرد,نماتدها، کرم هایی گرد و میکروسکوپی با بدنی بدون حلقه هستند که به وسیله قطعات دهانی سوزنی شکل (استایلت) خود خساراتی را به اندام های مختلف گیاهان نظیر ریشه ها وارد میکنند و به اصطلاح باعث مرگ خاموش گیاهان میشوند.,پارک علم و فناوری استان مرکزی,کشاورزی و منابع طبیعی,['کنترل، آلودگی'],ایران,مرکزی,اراک,
25,استحکام بخشی بطری های پت,بطری پت pet یا همان پلی اتیلن ترفتالات یکی از مشتقات پلیمری (گرما-پلاستیک) می باشد. این بطری ها بیشتر برای بطری اب معدنی و یا نوشیدنی ها (نوشیدنی های گازدار و غیرگازدار) تولید و مورد استفاده قرار می گیرند. تفاوت این نوع از ماده و این نوع از بطری ها، با دیگر مواد پلاستیکی ، سازگار بودن آن با بدن انسان است.,پارک علم و فناوری استان مرکزی,فنی و مهندسی,['بطری، استحکام'],ایران,مرکزی,اراک,
26,طراحی و ارایه خدمات تولید ابری در کسب و کار های برتر و پیاده سازی آن در استان تهران,با شکل گیری زیست بوم دانش بنیان ،خلاق و نوآور کشور و حمایت از شرکتهای دانش بنیان، تعداد زیادی از شرکتهای فناور و خلاق در حوزه های مختلف کسب و کار شکل گرفته که دارای محصولات دانشی و خلاقانه بوده اما ظرفیت بهره برداری از توانمندی آنها در کسب و کارها فراهم نگردیده است و این موضوع زمینه خروج شرکتهای دانش بنیان و دستاوردهای آنان از کشور را باعث شده است لذا ضروری است تا بستری ایجاد گردد تا با استفاده از آن ظرفیتهای متقابل شرکتهای دانش بنیان و کسب و کارها شناسایی و مورد استفاده قرار گیرد.یکی از بسترهای نوین برای توسعه کسب  کارها ، بستر تولید ابری(cloud Manufacturing) است که بسیاری از کشورهای پیشرو در عرصه های صنعتی از آن بعنوان پیشران و ورود به صنعت نسل 4 استفاده می نمایند که در این بستر ظرفیتها و قابلیتهای کسب و کارها به اشتراک گذاشته شده و شرکتها و صاحبان ایده می توانند از این بستر برای توسعه کسب و کارهای خود و اجرایی نمودن ایده های خود استفاده نمایند.,سازمان صنعت،معدن و تجارت استان تهران,"فنی و مهندسی, مهندسی فناوری اطلاعات, سامانه های شبکه ای",['خدمات تولید ابری'],ایران,تهران,تهران,گروه/های هدف:
27,تحلیل و پیش بینی توان و خلا تولید محصولات زراعی منطقه‏ای با بکارگیری فناوری RS و GIS,یکی از مسایل عمده تولید گیاهان زراعی در کشور ما تفاوت زیاد بین عملکرد واقعی کشاورزان و عملکرد قابل دستیابی از مزرعه (خلاء عملکرد) است. به همین دلیل شناسایی عوامل محدودکننده عملکرد گیاهان زراعی (به ویژه گیاهان استراتژیک) و سهم هر یک از آنها در ایجاد این خلاء با استفاده از فناوریهای نوین RS و GIS می‏تواند در تقلیل و احیاناً رفع خلاء عملکرد یک منطقه بسیار پراهمیت باشند. بنابراین با تحلیل خلاء عملکرد و تعیین عوامل ایجادکننده آن اقدامات لازم اتخاذ شده و بدین ترتیب می توان به افزایش امنیت غذایی کمک کرد.,مرکز تحقیقات و آموزش کشاورزی و منابع طبیعی خوزستان,,['سنجش از دور ، پتانسیل تولید'],,خوزستان,اهواز,
28,ارایه نرم‌افزاری به منظور ارتقای تولید محصولات مختلف از طریق مصرف بهینه آب و کود در کشاورزی استان,به نظر می‌رسد شرایطی وجود که کمیت مصرف کودهای شیمیایی به آن وابسته بوده و لذا لازم است برای هر منطقه و شرایط اقلیمی مختلف تعیین گردد. بر اساس آخرین یافته‌ها، روش و مدیریت آبیاری نقش بسزایی در افزایش بازده آبیاری داشته و قسمت عمده مسایل و مشکلات بازدهی آبیاری در مناطق مورد مطالعه به مسایل مدیریتی (از جمله مدیریت مصرف کودهای شیمیایی) مربوط است که بهبود و اصلاح آن نیز به‌ سرمایه‌گذاری چندانی نیاز ندارد. پروژه پیشنهادی در راستای تعیین مناسبترین روش مدیریت تلفیقی آب و کود در خاک‌های استان خوزستان می‌باشد.,مرکز تحقیقات و آموزش کشاورزی و منابع طبیعی خوزستان,,['مدیریت تغذیه گیاه، مدیریت تلفیقی، کارایی مصرف آب'],,خوزستان,اهواز,
29,روش های بیولوژیک و زیستی مبارزه با مگس زیتون,مگس میوه زیتون به عنوان یک تهدید جدی در مناطق زیتون‌خیز دنیا به شمار رفته و یکی از آفات چند نسلی اختصاصی درختان زیتون می‌باشد.,پارک علم و فناوری استان مرکزی,کشاورزی و منابع طبیعی,['آفت، زیتون'],ایران,مرکزی,اراک,
30,بررسی عوامل خشکیدگی,مناطق خشکیده گی گون در استان پهنه یندی گردید است,اداره کل منابع طبیعی و آبخیزداری,کشاورزی و منابع طبیعی,['خشکیدگی، گون زار'],ایران,چهارمحال وبختیاری,شهرکرد,
31,نرم افزار مانیتورینگ مصارف ایستگاهها,درحال حاضر مصارف ایستگاه‌های شهرستانها بصورت دستی جمع آوری و تجمیع می شود. ایجاد یک سیستم هوشمند علاوه بر افزایش سرعت عمل دقت را نیز بالابرده و صرفه جویی در زمان و هزینه ها خواهد داشت,شرکت گاز استان خوزستان,فنی و مهندسی,['مانیتورینگ،'],ایران,خوزستان,اهواز,
32,کنترل بیماری های خطرناک باغی و زراعی مانند لکه چشمی و خوشه صمغی و....,کنترل بیماری های خطرناک باغی و زراعی مانند لکه چشمی و خوشه صمغی و....,پارک علم و فناوری استان مرکزی,کشاورزی و منابع طبیعی,['بیولوژیک، آفات'],ایران,مرکزی,اراک,
33,اصلاح نژاد دام های بومی بر پایه انتخاب ژنومی با تاکید بر گاومیش,انتخاب ژنومیک در واقع نوعی انتخاب به کمک نشانگر در دو مرحله است و بر اساس عدم تعادل پیوستگی بین نشانگرها و جایگاه صفت کمی می‌باشد. در مرحله اول ژنوتیپ حیوانات در جمعیت مرجع که دارای رکورد فنوتیپی هستند با تعداد زیادی نشانگر تعیین می‌شود و با استفاده از مدل‌های آماری، اثرات تمامی این نشانگرها به طور همزمان برآورد می‌گردد. در مرحله دوم، اثرات نشانگری برآوردشده برای پیش‌بینی ارزش اصلاحی ژنومی دام‌های فاقد رکورد فنوتیپی (جمعیت کاندیدا) به کار می‌رود.,مرکز تحقیقات و آموزش کشاورزی و منابع طبیعی خوزستان,,['ژنومیک، اصلاح نژاد'],,خوزستان,اهواز,
34,پیشگیری ، کنترل و مبارزه با بیماری زنگ زرد (نواری)غلات,زنگ زرد یک بیماری بسیار مهم در گندم به ویژه در مناطق سردسیر است. شرایط دمایی ایده آل برای جوانه‌زنی و نفوذ اسپور بین 13 تا 18 درجه سانتیگراد است. گسترش بیشتر بیماری در دمای 12 تا 15 درجه سانتیگراد اتفاق می‌افتد. این باعث می‌شود زنگ زرد بیشتر یک بیماری بهاره باشد.البته نکته حایز اهمیت حساسیت بیشتر گیاهان جوان است که با بالغ شدن مقاومت گیاه افزایش می‌یابد.,پارک علم و فناوری استان مرکزی,کشاورزی و منابع طبیعی,['آفات، کنترل'],ایران,مرکزی,اراک,
35,سازه های پرورش متراکم آبزیان,باتوجه به اینکه در شرایط کم آبی، تولید متراکم ماهیان باعث افزایش بهره وری تولیدوکاهش مصرف آب خواهد شدتولید سازه های تولید متراکم اهمیت بالایی دارد,پارک علم و فناوری خوزستان,فنی و مهندسی,['پرورش متراکم آبزیان'],ایران,خوزستان,اهواز,
36,تدوین برنامه جامع استراتژیک توسعه اقتصاد مناطق مرزی استان,با توجه به اینکه همسایگی استان آذربایجان غربی با سه کشور عراق،ترکیه و آذربایجان و وجود چندین مرز رسمی، تدوین برنامه جامع استراتژیک توسعه اقتصاد مرزی میتواند منجر به توسعه استان شود.,استانداری آذربایجان غربی,علوم انسانی,['تدوین برنامه جامع، استراتژیک، اقتصاد مرزی، توسعه'],ایران,آذربایجان غربی,ارومیه,
37,High-power ultrasonic baths and rinsing baths for aqueous fluids,این دستگاه جهت شستشوید فیلتر استفاده می شود,گروه ملی صنایع فولاد,,['High-power ultrasonic baths and rinsing baths for aqueous fluids'],,خوزستان,اهواز,گروه/های هدف:
38,بسته بندی محصولات پروتیینی,ارایه راهکار اقتصادی جهت بسته بندی محصولات پروتیینی با هدف افزایش ماندگاری,پارک علم و فناوری استان مرکزی,فنی و مهندسی,,ایران,مرکزی,اراک,
39,فرمولاسیون و ساخت پوششهای پایه آلی مقاوم در برابر سرویس ترش جهت جلوگیری از ترک خوردگی هیدروژنی (HIC) فولاد کربنی,ترک خوردگی هیدروژنی القا شده (HIC) یکی از انواع خوردگی است که در محیط گاز ترش بر روی تجهیزات فولاد کربنی ایجاد می گردد. به منظور جلوگیری یا کاهش اثرات مخرب این خوردگی در پالایشگاه گاز ایلام ابتدا در فاز مطالعاتی ضمن بررسی وضعیت روز دنیا در زمینه ساخت و عملکرد پوششهای پایه آلی پلیمری جلوگیری کننده از HIC در محیط گاز طبیعی ترش پوشش های مناسبی اتخاب شده و سپس در فاز آزمایشگاهی چند فرمولاسیون پوشش الی پلیمری طراحی شده و ضمن ساخت بر روی تست کوپنهای ورقههای فولاد کربنی پالایشگاه پوشش داده شده و پس از تست در آزمایشگاه و تایید عملکرد آنها، این تست کوپنها در شرایط عملیاتی پالایشگاه گاز ایلام تست خواهد شد و با استفاده از دستگاه های امپدانس الکتروشیمیایی مقاومت هر یک از پوشش‌ها اندازه گیری شده و تست های SEM و EDX بر روی آنها انجام خواهد شد.,شرکت پالایش گاز ایلام,فنی و مهندسی,['ساخت پوششهای پایه آلی ترک خوردگی هیدروژنی'],ایران,ایلام,چوار,
40,تدوین وارزیابی اثربخشی برنامه جامع حمایت های روانی اجتماعی بر کاهش مشکلات رفتاری کودکان کار در استان تهران,کودکان کار یکی از آسیب پذیرترین گروه های جامعه هستند که در معرض مشکلات و اختلالات روانی متعددی قرار دارند. براساس برخی پژوهش ها مشکلات رفتاری از جمله شایع ترین مشکلات موجود در کودکان کار است که نیازمند توجه و ارایه راهکارها و برنامه هایی برای کاهش آن است. پژوهش حاضر با هدف تدوین برنامه ای جامع در زمینه حمایت های روانی- اجتماعی برای کودکان کار و  بررسی اثربخشی آن بر کاهش مشکلات رفتاری کودکان کار انجام می شود.,اداره کل بهزیستی استان تهران,"علوم انسانی, روان شناسی",['برنامه جامع حمایت های روانی اجتماعی - مشکلات رفتاری - کودکان کار'],ایران,تهران,تهران,
41,وضعیت شناسی الگوهای غالب خشونت خانگی در استان و طراحی مدل های کاهش خشونت  مبتنی بر. الگوهای شایع  شناسایی شده,طراحی طرح، نگارش و تصویب آن,استانداری,علوم انسانی,['خشونت خانگی'],ایران,چهارمحال وبختیاری,شهرکرد,
42,تغییر سیت و اورفیس رگلاتورهای صنعتی,افزایش ظرفیت حجم گاز عبوری باتوجه به فشار ورودی ایستگاه های  T.B.S,شرکت گاز استان خوزستان,فنی و مهندسی,['ایستگاه های\u200c T.B.S'],ایران,خوزستان,اهواز,
43,طراحی و ساخت دستگاه اولتراسوند (پروب‌دار) (نیاز),هدف تمامی صنایع فرایند کننده مواد غذایی تولید فرآورده‌ای با کیفیت بالا و تا حد امکان با حداقل هزینه می باشد که این فرآورده در اثر قرار دادن مواد اولیه در معرض یک سری از فرآیند ها مانند حرارت دادن، خنک کردن، فشار و اختلاط و. . . تولید می شود. تنوع در مواد خام و شرایط فرآیند سبب بوجود آوردن فرآورده‌ای با کیفیت غیر قابل پیش بینی می‌شود. به همین دلیل بایستی کارخانجات مواد غذایی ویژگی های مواد اولیه را تعیین کرده و در هر مرحله از فرآیند، ماده غذایی و شرایط فرآیند را کنترل نمایند تا ویژگی های فراورده نهایی تا حد امکان مشابه ویژگی های مطلوب از قبل پیش بینی شده باشد. پیشرفت در زمینه میکروالکترونیک سبب شده که بتوان از اولتراسونیک برای اندازه گیری های دقیق و با هزینه نسبتاً پایین استفاده کرد.,مرکز تحقیقات و آموزش کشاورزی و منابع طبیعی خوزستان,,['هوشمندسازی، صنایع غذایی'],,خوزستان,اهواز,
44,استفاده از موتور آفلاین با قابلیت شبیه سازی و ارایه راهکار بالانس شبکه مبتنی بر هوش مصنوعی,استفاده از موتور آفلاین با قابلیت شبیه سازی و ارایه راهکار بالانس شبکه مبتنی بر هوش مصنوعی,شرکت گاز استان مرکزی,فنی و مهندسی,['هوش مصنوعی، شبیه سازی'],ایران,مرکزی,اراک,
45,تهیه و تولید مدیا برای تولید فیلتر صنعتی,با توجه به وارداتی بودن مدیاهای تولید فیلترهای صنعتی نیاز اساسی به تولید این فیلترها می باشد,کیان پالایش رادمان,فنی و مهندسی,['فیلتر، مدیا'],ایران,مرکزی,اراک,
46,پیشگیری ، کنترل و مبارزه با بیماری قارچی سفید سطحی در چغندرقند,بیماری گیاهی سفیدک سطحی چغندرقند در بسیاری از مناطق زیر کشت این محصول مشاهده می شود. عامل این بیماری به طور معمول دارای خسارت اقتصادی روی چغندرقند است، ولی توانایی آسیب به گیاهان دیگری از جمله زیره، چغندر وحشی، لبو و گیاهان دیگر خانواده چغندریان را دارا می باشد.,پارک علم و فناوری استان مرکزی,کشاورزی و منابع طبیعی,['آفات، کنترل'],ایران,مرکزی,اراک,
47,کنترل و مبارزه با بیماری گموز مرکبات,از علایم مهم بیماری گیاهی گموز مرکبات، ترشح صمغ در اطراف طوقه تا ارتفاع نیم متری از سطح خاک می باشد. پوست قسمت آلوده ممکن است بوی ماهی و یا ترشی بدهد. صمغ خارج شده ابتدا آبکی و بی رنگ است که پس از خشک شدن در هوای آزاد سخت شده و به رنگ خرمایی در می آید.,پارک علم و فناوری استان مرکزی,کشاورزی و منابع طبیعی,['آفات، کنترل'],ایران,مرکزی,اراک,
48,استفاده از ظرفیت ها و امکانات موجود برای استفاده از شرکت های دانش بنیان در راستای توسعه زیست بوم فناوری استان تهران,شرح خدمات مورد انتظار طرح استفاده از ظرفیت ها و امکانات موجود برای استفاده از شرکت های دانش بنیان در راستای توسعه زیست بوم فناوری استان تهران,استانداری تهران,فنی و مهندسی,['دانش بنیان-زیست بوم'],ایران,تهران,تهران,
49,Shaft encoder,HIGH RESOLUTION INCREMENTAL ENCODERحسگر,گروه ملی صنایع فولاد,,['Shaft encoder'],,خوزستان,اهواز,گروه/های هدف:
